id_oferta|id_tipo
12035|153
11916|153
12049|153
12035|154
12134|154
11916|154
11893|154
11922|154
11914|154
11707|154
11345|154
12068|155
12019|155
11616|155
12060|156
12049|156
11919|156
11849|156
11711|156
11707|156
12019|157
11940|157
12023|157
12067|157
12026|157
11981|157
11989|157
11663|157
12020|158
11893|159
11922|159
11896|160
11845|160
11293|160
11916|162
12023|162
11900|163
11924|163
11345|163
12062|164
11928|164
11878|164
11900|165
12068|166
12019|166
12039|166
11896|166
12014|167
