id_oferta|fecha_registro|vendidos
11919|27-03-2015 04:00:00|8 
11922|27-03-2015 04:00:00|7 
11895|27-03-2015 04:00:00|36 
11878|27-03-2015 04:00:00|79 
12020|27-03-2015 04:00:00|18 
11981|27-03-2015 04:00:00|7 
11914|27-03-2015 04:00:00|11 
11474|27-03-2015 04:00:00|224 
12012|27-03-2015 04:00:00|12 
11845|27-03-2015 04:00:00|14 
11849|27-03-2015 04:00:00|31 
11642|27-03-2015 04:00:00|38 
11896|27-03-2015 04:00:00|38 
11989|27-03-2015 04:00:00|9 
11375|27-03-2015 04:00:00|157 
11746|27-03-2015 04:00:00|28 
11344|27-03-2015 04:00:00|20 
11711|27-03-2015 04:00:00|15 
11374|27-03-2015 04:00:00|175 
11707|27-03-2015 04:00:00|24 
11345|27-03-2015 04:00:00|29 
11616|27-03-2015 04:00:00|27 
11293|27-03-2015 04:00:00|43 
11663|27-03-2015 04:00:00|21 
11539|27-03-2015 04:00:00|136 
11382|27-03-2015 04:00:00|145 
