id_oferta|fecha_registro|vendidos
12190|13-04-2015 12:00:00|9 
11894|13-04-2015 12:00:00|153 
12039|13-04-2015 12:00:00|117 
12123|13-04-2015 12:00:00|68 
12019|13-04-2015 12:00:00|21 
11895|13-04-2015 12:00:00|46 
11896|13-04-2015 12:00:00|72 
12053|13-04-2015 12:00:00|25 
11889|13-04-2015 12:00:00|13 
11746|13-04-2015 12:00:00|39 
11924|13-04-2015 12:00:00|147 
12097|13-04-2015 12:00:00|31 
12068|13-04-2015 12:00:00|39 
12028|13-04-2015 12:00:00|71 
11919|13-04-2015 12:00:00|10 
12186|13-04-2015 12:00:00|9 
11663|13-04-2015 12:00:00|42 
11873|13-04-2015 12:00:00|14 
12134|13-04-2015 12:00:00|116 
11878|13-04-2015 12:00:00|100 
12012|13-04-2015 12:00:00|33 
12026|13-04-2015 12:00:00|24 
11707|13-04-2015 12:00:00|39 
11989|13-04-2015 12:00:00|19 
12021|13-04-2015 12:00:00|56 
11616|13-04-2015 12:00:00|43 
12020|13-04-2015 12:00:00|43 
11914|13-04-2015 12:00:00|28 
11845|13-04-2015 12:00:00|16 
11922|13-04-2015 12:00:00|10 
11981|13-04-2015 12:00:00|12 
