id_oferta|fecha_registro|vendidos
11878|19-03-2015 22:00:00|30 
11699|19-03-2015 22:00:00|43 
11917|19-03-2015 22:00:00|52 
11463|19-03-2015 22:00:00|55 
11744|19-03-2015 22:00:00|193 
11127|19-03-2015 22:00:00|83 
11894|19-03-2015 22:00:00|35 
11375|19-03-2015 22:00:00|131 
11474|19-03-2015 22:00:00|204 
11702|19-03-2015 22:00:00|35 
11398|19-03-2015 22:00:00|134 
11746|19-03-2015 22:00:00|22 
11663|19-03-2015 22:00:00|18 
11195|19-03-2015 22:00:00|205 
11711|19-03-2015 22:00:00|11 
11616|19-03-2015 22:00:00|24 
11344|19-03-2015 22:00:00|19 
11707|19-03-2015 22:00:00|22 
11209|19-03-2015 22:00:00|62 
11667|19-03-2015 22:00:00|19 
11345|19-03-2015 22:00:00|28 
11642|19-03-2015 22:00:00|34 
11681|19-03-2015 22:00:00|36 
11539|19-03-2015 22:00:00|116 
11293|19-03-2015 22:00:00|43 
11249|19-03-2015 22:00:00|56 
11504|19-03-2015 22:00:00|49 
11682|19-03-2015 22:00:00|130 
11382|19-03-2015 22:00:00|113 
11262|19-03-2015 22:00:00|26 
11443|19-03-2015 22:00:00|55 
11484|19-03-2015 22:00:00|60 
11374|19-03-2015 22:00:00|151 
