id_oferta|fecha_registro|vendidos
11699|11-03-2015 18:00:00|19 
11745|11-03-2015 18:00:00|13 
11667|11-03-2015 18:00:00|14 
11129|11-03-2015 18:00:00|18 
11616|11-03-2015 18:00:00|18 
11195|11-03-2015 18:00:00|172 
11073|11-03-2015 18:00:00|39 
11344|11-03-2015 18:00:00|18 
11127|11-03-2015 18:00:00|69 
11707|11-03-2015 18:00:00|9 
11398|11-03-2015 18:00:00|106 
11345|11-03-2015 18:00:00|25 
11209|11-03-2015 18:00:00|56 
11210|11-03-2015 18:00:00|189 
11669|11-03-2015 18:00:00|92 
11702|11-03-2015 18:00:00|26 
11027|11-03-2015 18:00:00|103 
11642|11-03-2015 18:00:00|22 
11614|11-03-2015 18:00:00|21 
11375|11-03-2015 18:00:00|98 
11744|11-03-2015 18:00:00|87 
11556|11-03-2015 18:00:00|26 
11681|11-03-2015 18:00:00|33 
11539|11-03-2015 18:00:00|104 
11474|11-03-2015 18:00:00|179 
11401|11-03-2015 18:00:00|144 
11463|11-03-2015 18:00:00|49 
11293|11-03-2015 18:00:00|42 
11249|11-03-2015 18:00:00|52 
11504|11-03-2015 18:00:00|46 
11682|11-03-2015 18:00:00|114 
11161|11-03-2015 18:00:00|8 
11262|11-03-2015 18:00:00|23 
11443|11-03-2015 18:00:00|52 
11484|11-03-2015 18:00:00|46 
11149|11-03-2015 18:00:00|16 
11309|11-03-2015 18:00:00|61 
11374|11-03-2015 18:00:00|141 
11382|11-03-2015 18:00:00|91 
