id_oferta|fecha_registro|vendidos
12134|02-04-2015 18:00:00|54 
12035|02-04-2015 18:00:00|62 
12068|02-04-2015 18:00:00|22 
11924|02-04-2015 18:00:00|92 
11940|02-04-2015 18:00:00|21 
12062|02-04-2015 18:00:00|75 
12039|02-04-2015 18:00:00|40 
12019|02-04-2015 18:00:00|17 
11918|02-04-2015 18:00:00|13 
12014|02-04-2015 18:00:00|58 
12031|02-04-2015 18:00:00|10 
12132|02-04-2015 18:00:00|9 
12097|02-04-2015 18:00:00|19 
12033|02-04-2015 18:00:00|8 
12028|02-04-2015 18:00:00|16 
12021|02-04-2015 18:00:00|22 
11900|02-04-2015 18:00:00|25 
12128|02-04-2015 18:00:00|11 
12075|02-04-2015 18:00:00|22 
11928|02-04-2015 18:00:00|20 
11893|02-04-2015 18:00:00|9 
12029|02-04-2015 18:00:00|26 
12023|02-04-2015 18:00:00|11 
12067|02-04-2015 18:00:00|26 
12026|02-04-2015 18:00:00|10 
12060|02-04-2015 18:00:00|15 
12049|02-04-2015 18:00:00|60 
11878|02-04-2015 18:00:00|97 
11896|02-04-2015 18:00:00|57 
