id_oferta|fecha_registro|vendidos
11894|17-03-2015 18:00:00|13 
11744|17-03-2015 18:00:00|157 
11663|17-03-2015 18:00:00|17 
11398|17-03-2015 18:00:00|127 
11746|17-03-2015 18:00:00|19 
11195|17-03-2015 18:00:00|200 
11699|17-03-2015 18:00:00|31 
11702|17-03-2015 18:00:00|35 
11711|17-03-2015 18:00:00|11 
11616|17-03-2015 18:00:00|23 
11344|17-03-2015 18:00:00|19 
11127|17-03-2015 18:00:00|69 
11707|17-03-2015 18:00:00|21 
11209|17-03-2015 18:00:00|60 
11667|17-03-2015 18:00:00|16 
11345|17-03-2015 18:00:00|27 
11642|17-03-2015 18:00:00|33 
11681|17-03-2015 18:00:00|33 
11375|17-03-2015 18:00:00|115 
11539|17-03-2015 18:00:00|115 
11474|17-03-2015 18:00:00|193 
11463|17-03-2015 18:00:00|55 
11293|17-03-2015 18:00:00|42 
11249|17-03-2015 18:00:00|55 
11504|17-03-2015 18:00:00|48 
11682|17-03-2015 18:00:00|124 
11382|17-03-2015 18:00:00|109 
11262|17-03-2015 18:00:00|25 
11443|17-03-2015 18:00:00|53 
11484|17-03-2015 18:00:00|56 
11374|17-03-2015 18:00:00|148 
